title,artist,top10,peak_rank,ar1_coef,ma1_coef,ar1_manual,model_aic,mean_streams,std_streams,trend_slope,peak_day,volatility,early_late_ratio,danceability,energy,valence,tempo,acousticness,loudness,speechiness
Firework,Katy Perry,0,75,-0.09636127534206336,-0.6789013767103776,-0.5660349001467913,351.2882445813663,94523.85714285714,116220.09540022213,13493.345054945055,11,158416.1511268537,1.0,0.637,0.867,0.652,124.069,0.143,-3.686,0.05
First Love,Hikaru Utada,0,46,0.6098776335706291,-0.9991391345154259,-0.15200545797103612,307.9563693224366,5905.047619047619,743.5815180078796,92.27922077922084,12,471.07673472588306,0.8127269820241657,0.438,0.434,0.195,179.913,0.122,-8.37,0.0371
Fixona,Harry Nach,0,92,0.7564176394911639,-0.9999242635504859,-0.0377288416617125,390.1792735751798,23124.380952380954,4100.772209233053,-232.96753246753232,0,3504.0267564617707,1.1729751703489573,0.869,0.76,0.872,92.981,0.432,-2.355,0.0887
Flaca,Andrés Calamaro,0,90,0.0042490083021987975,-0.9974135496283519,-0.3953117328780536,381.3294950095001,4951.142857142857,2828.892384388098,226.40649350649343,19,3580.7576080349254,0.4659903249182319,0.739,0.48,0.758,105.029,0.718,-10.82,0.0263
Flamingo,Kenshi Yonezu,1,6,-0.18311570151050216,-0.5706221612858018,-0.36896615434050717,493.04965170098205,110069.19047619047,38375.56475603546,-2357.6857142857143,1,50915.70827318422,1.4515935843183034,0.76,0.668,0.913,114.075,0.165,-6.0,0.0546
Floor 555,XXXTENTACION,0,29,0.020225736714601122,-0.9999999999973163,-0.4442080730368293,544.9508126722226,46901.76190476191,150483.97248588895,-9537.125974025968,1,207792.71119576716,24.903436376707404,0.695,0.686,0.354,105.219,0.000424,-8.147,0.0478
Flor Pálida,Marc Anthony,0,45,-0.7215102720146256,0.2720704498092162,-0.525173899550293,361.29309609109555,3307.6190476190477,1481.671272461334,24.66233766233762,0,1956.0120264200832,0.816963934941463,0.574,0.802,0.739,93.537,0.659,-3.976,0.0316
Fluorescent Adolescent,Arctic Monkeys,0,45,-0.8636564971041399,-0.3582328304992278,-0.9382352988816163,453.9075124188424,26165.285714285714,23723.306087640718,-54.19350649350684,8,45297.95639319726,1.1411756428747317,0.654,0.828,0.79,112.056,0.00146,-5.377,0.0281
Flux,Ellie Goulding,0,57,-0.2922038274323209,-0.11062846173013054,-0.5523606353676397,550.2472281739787,57041.142857142855,172987.69866071973,7289.954545454544,20,191236.42460967,0.3969568715492903,0.509,0.415,0.393,93.576,0.856,-6.502,0.0272
Fly To My Room,BTS,1,3,0.1208721443684091,-0.9646295467049658,-0.4051747440577308,524.2027367010023,62225.619047619046,89598.19249105643,-3089.74935064935,11,122831.31806668852,2.093601160494822,0.764,0.526,0.588,114.91,0.0484,-7.355,0.212
Focus (feat. 21 Savage),Bazzi,0,34,-0.9999998283110227,0.006554923896423634,-0.5070760262960942,545.8950414886067,32769.90476190476,111347.6352428798,-5624.479220779214,1,166870.68925560295,6.105015120411452,0.752,0.703,0.538,77.021,0.00694,-5.268,0.0969
"Fokus (Jugglerz, Miami Yacine, Nura feat. Bausa & Joshi Mizu)",Jugglerz,0,58,-0.6992177888899921,-0.9999999779864542,-0.7884793813734153,482.44069279198163,56911.380952380954,44329.14459496756,1419.359740259741,1,82182.94543583844,0.6806334241058147,0.73,0.805,0.224,119.845,0.154,-6.285,0.0714
Follow You,Imagine Dragons,0,13,0.03250476716584086,-0.869068304166038,-0.47895151638677835,521.0191454183105,39766.23809523809,78310.17656783931,3468.1818181818185,17,112283.02153816489,0.2787879018364778,0.542,0.732,0.489,124.912,0.00209,-5.956,0.0521
For All You Give (feat. Lucy Rose),The Paper Kites,0,106,0.031760646870782054,-0.9998052937655894,-0.48469004276201016,363.2724772133507,23807.333333333332,1577.5334373735939,-10.541558441558644,19,2234.0934380638605,1.0196976361631487,0.498,0.142,0.355,139.173,0.956,-17.142,0.0383
Forever After All,Luke Combs,1,2,-0.3552418718300928,-0.9349941483383098,-0.6268447046763683,615.6377294822374,694691.0952380953,918503.2754372427,-21961.683116883105,2,1548499.9014757306,1.466552146885396,0.487,0.65,0.456,151.964,0.191,-5.195,0.0253
Forever Young,BLACKPINK,1,2,-0.07016478552711158,-0.8215330329162853,-0.5035856792358777,549.102469718006,59897.09523809524,157854.82863299697,4928.579220779221,14,237894.63301059886,0.12949326264809724,0.592,0.961,0.508,109.826,0.0423,-1.807,0.096
Forever Young,Eve Ai,1,3,0.11423302747529054,-0.5272133364567378,-0.24407549551739238,386.0409440065152,15769.809523809523,3761.650709323889,296.1142857142857,11,3281.8099712658563,0.7334788873848304,0.304,0.226,0.323,139.593,0.929,-10.707,0.0329
Forget to Forget,SHY Martin,0,56,-0.184024721529401,-0.9627262862394723,-0.3931551184119604,433.9081859371582,8170.333333333333,9393.347774499696,-288.4714285714288,0,13528.170022124204,1.1883929886581235,0.918,0.602,0.81,110.996,0.0732,-8.891,0.0603
Formula,Labrinth,0,53,0.2402928792904379,-0.9995844548776958,-0.265266369124801,330.5579363219537,1869.4285714285713,741.9040864352937,33.60909090909089,20,915.8166355772316,0.8060459964818554,0.574,0.664,0.226,144.654,0.0448,-6.068,0.0409
Fortunate Son,Creedence Clearwater Revival,0,37,-0.08683402825720082,-0.8854683435145262,-0.6168542507744306,533.0044087440026,88027.57142857143,107445.43415306271,-3272.0896103896102,12,164578.24377306833,1.7777485981207821,0.64,0.663,0.663,132.77,0.201,-7.516,0.0374
Forty Six & 2,TOOL,0,77,-0.09263736526057204,-0.9999999999955684,-0.5025151163128917,288.9172032923286,29382.166666666668,75046.11480153757,-6441.9370629370615,2,116233.98182378324,1.0,0.375,0.682,0.396,159.23,0.00152,-6.898,0.0364
Four Out Of Five,Arctic Monkeys,1,2,-0.4304705108328976,0.515113733157673,0.0187067004521336,535.015965232068,51916.09523809524,121708.4741248548,5815.622077922076,20,127250.15901006764,0.40800766659578064,0.601,0.863,0.676,130.189,0.0626,-4.31,0.0685
Freak (feat. REI AMI),Sub Urban,0,101,-0.6437370273858899,-0.11046495756798834,-0.7332035705262446,371.5616668174835,2442.0,2087.8479692873098,-3.0545454545454214,8,3074.3813731383425,0.8735911083281152,0.619,0.45,0.41,179.755,0.433,-11.965,0.515
Freaks,Surf Curse,0,13,0.3258216546606729,-0.9209783728976726,-0.19698860877575597,521.1126824754812,51224.52380952381,89303.48262905542,6489.850649350648,20,102893.37330513565,0.012993206845738533,0.345,0.941,0.407,179.626,3.84e-05,-9.918,0.0466
Freaky Friday (feat. Chris Brown),Lil Dicky,1,1,-0.018178106533991437,-0.954117718008026,-0.4692861337826689,579.8250418079754,160251.95238095237,358297.8128276713,-15472.829870129872,9,521557.9620281335,4.5859171919611095,0.755,0.599,0.755,133.123,0.147,-5.042,0.224
Free Fallin',Tom Petty,0,16,0.058433625538417105,-0.9499436374535198,-0.4313911637080757,574.0139331293904,128414.23809523809,299052.6638761466,-3553.137662337661,13,432240.9673287459,9.04252349712988,0.623,0.449,0.572,84.383,0.212,-13.333,0.0253
"Free Fallin' - Live at the Nokia Theatre, Los Angeles, CA - December 2007",John Mayer,0,132,0.5921009864120642,-0.9994738948315044,0.006788859399609371,289.56010670600654,7513.789473684211,1141.9377611829432,169.83157894736843,17,652.5619714197342,1.0,0.315,0.296,0.435,173.509,0.771,-13.262,0.0315
Friday I'm In Love,The Cure,0,86,-0.45802698493033867,-0.9999789980068018,-0.6103335391326115,284.0325170460681,22798.076923076922,22079.7511707744,-739.703296703297,7,38080.07903409676,1.0,0.526,0.763,0.514,136.205,0.00126,-12.663,0.0341
Friends,BTS,1,4,-0.22551655987220498,-0.6151324251557553,-0.9281736079054939,529.1155868298588,41889.333333333336,98273.43540460068,5476.370129870129,19,139388.36216445762,0.17796668459162365,0.55,0.747,0.649,79.979,0.0668,-5.211,0.0407
From the Inside,Linkin Park,0,47,0.052057147293024054,-0.9256541094406557,-0.4601244152436151,549.7653774802171,61415.380952380954,160785.2386414802,1736.7285714285706,15,233968.83741849044,0.41492060023566757,0.466,0.965,0.453,95.028,0.042,-2.597,0.0904
